 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
1,0,788.062,159.103,81.086,85.009,522,312,0.0,0.0,5
2,1,750.038,155.948,77.173,83.323,522,312,0.0,0.0,6
3,2,706.575,147.612,72.701,78.869,522,312,0.0,0.0,7
4,3,761.712,155.329,78.375,82.992,522,314,0.16,0.0528,8
5,4,747.375,153.688,76.899,82.115,522,314,0.0,0.0,9
6,5,818.675,137.094,84.236,73.249,522,314,0.0,0.0,10
7,6,891.475,149.282,91.726,79.761,523,317,0.25296,0.0834768,11
8,7,883.075,153.064,90.862,81.782,523,319,0.16,0.0528,12
9,8,971.888,152.975,100.000,81.734,523,320,0.08,0.0264,13
10,9,728.100,167.379,74.916,89.431,523,321,0.08,0.0264,14
11,10,624.312,154.213,64.237,82.396,523,322,0.08,0.0264,15
12,11,436.688,160.226,44.932,85.608,523,323,0.08,0.0264,16
13,12,600.212,162.119,61.757,86.620,522,324,0.11312,0.0373296,17
14,13,550.262,157.496,56.618,84.150,521,324,0.08,0.0264,18
15,14,560.912,157.708,57.714,84.263,521,325,0.08,0.0264,19
16,15,589.625,151.175,60.668,80.773,521,325,0.0,0.0,20
17,16,541.038,165.146,55.669,88.237,521,326,0.08,0.0264,21
18,17,468.238,167.477,48.178,89.483,521,326,0.0,0.0,22
19,18,582.088,179.340,59.892,95.821,521,328,0.16,0.0528,23
20,19,575.975,171.890,59.264,91.841,521,328,0.0,0.0,24
21,20,553.475,152.581,56.948,81.524,522,328,0.08,0.0264,25
22,21,523.912,164.110,53.907,87.684,522,329,0.08,0.0264,26
23,22,560.025,148.415,57.622,79.298,522,330,0.08,0.0264,27
24,23,727.700,169.542,74.875,90.586,521,331,0.11312,0.0373296,28
25,24,674.362,148.093,69.387,79.126,520,330,0.11312,0.0373296,29
26,25,777.350,146.878,79.984,78.477,517,331,0.25296,0.0834768,30
27,26,771.662,144.276,79.398,77.086,517,331,0.0,0.0,31
28,27,758.738,138.379,78.068,73.936,517,333,0.16,0.0528,32
29,28,701.738,127.286,72.204,68.009,518,333,0.08,0.0264,33
30,29,762.312,154.866,78.436,82.744,518,332,0.08,0.0264,34
31,30,610.362,151.905,62.802,81.162,519,328,0.32984,0.1088472,35
32,31,553.988,143.480,57.001,76.661,521,329,0.17888,0.0590304,36
33,32,455.688,160.190,46.887,85.589,522,330,0.11312,0.0373296,37
34,33,479.675,164.772,49.355,88.038,525,331,0.25296,0.0834768,38
35,34,547.362,168.278,56.320,89.911,525,331,0.0,0.0,39
36,35,553.188,178.847,56.919,95.558,525,333,0.16,0.0528,40
37,36,500.438,160.820,51.491,85.926,525,333,0.0,0.0,41
38,37,566.100,161.938,58.247,86.523,524,334,0.11312,0.0373296,42
39,38,503.975,163.830,51.855,87.534,524,336,0.16,0.0528,43
40,39,636.175,170.164,65.458,90.918,524,336,0.0,0.0,44
41,40,659.825,184.993,67.891,98.842,524,337,0.08,0.0264,45
42,41,577.912,163.688,59.463,87.458,525,339,0.17888,0.0590304,46
43,42,566.338,161.034,58.272,86.040,526,340,0.11312,0.0373296,47
44,43,560.525,159.508,57.674,85.225,526,342,0.16,0.0528,48
45,44,618.425,170.469,63.631,91.081,528,340,0.22624,0.0746592,49
46,45,434.862,139.482,44.744,74.525,520,336,0.71552,0.2361216,50
47,46,580.550,139.923,59.734,74.761,521,331,0.40792,0.1346136,51
48,47,470.588,157.792,48.420,84.308,520,334,0.25296,0.0834768,52
49,48,526.875,150.104,54.212,80.200,519,335,0.11312,0.0373296,53
50,49,572.025,145.648,58.857,77.820,519,335,0.0,0.0,54
51,50,475.738,155.509,48.950,83.088,518,336,0.11312,0.0373296,55
52,51,567.150,159.021,58.356,84.965,517,337,0.11312,0.0373296,56
53,52,585.925,145.520,60.287,77.751,517,337,0.0,0.0,57
54,53,526.612,154.802,54.185,82.711,516,338,0.11312,0.0373296,58
55,54,538.225,158.169,55.379,84.509,516,338,0.0,0.0,59
56,55,535.075,167.469,55.055,89.479,516,338,0.0,0.0,60
57,56,519.588,170.816,53.462,91.267,516,338,0.0,0.0,61
58,57,453.138,167.222,46.624,89.346,516,338,0.0,0.0,62
59,58,441.188,176.895,45.395,94.515,516,338,0.0,0.0,63
60,59,462.638,187.161,47.602,100.000,516,338,0.0,0.0,64
61,60,483.675,157.876,49.767,84.353,516,338,0.0,0.0,65
62,61,509.938,167.330,52.469,89.404,516,339,0.08,0.0264,66
63,62,548.125,167.070,56.398,89.265,516,340,0.08,0.0264,67
