 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
1,0,662.712,238.332,44.809,37.503,381,317,0.0,0.0,87
2,1,715.988,233.888,48.411,36.804,382,317,0.08,0.0264,88
3,2,822.388,242.915,55.605,38.224,382,318,0.08,0.0264,89
4,3,932.988,235.162,63.083,37.004,385,319,0.25296,0.0834768,90
5,4,977.350,239.506,66.083,37.688,386,320,0.11312,0.0373296,91
6,5,1215.675,245.356,82.197,38.608,387,320,0.08,0.0264,92
7,6,1170.238,248.265,79.125,39.066,388,321,0.11312,0.0373296,93
8,7,1279.475,274.129,86.511,43.136,389,322,0.11312,0.0373296,94
9,8,1250.662,293.174,84.563,46.132,392,322,0.24,0.0792,95
10,9,1102.288,275.579,74.531,43.364,391,323,0.11312,0.0373296,96
11,10,1268.262,273.235,85.753,42.995,391,323,0.0,0.0,97
12,11,1478.975,253.515,100.000,39.892,391,322,0.08,0.0264,98
13,12,1382.700,259.753,93.490,40.873,392,322,0.08,0.0264,99
14,13,1082.638,264.890,73.202,41.682,392,322,0.0,0.0,100
15,14,1057.050,268.247,71.472,42.210,392,322,0.0,0.0,101
16,15,1109.125,264.016,74.993,41.544,393,322,0.08,0.0264,102
17,16,992.888,287.764,67.133,45.281,393,321,0.08,0.0264,103
18,17,1007.025,270.121,68.089,42.505,393,322,0.08,0.0264,104
19,18,822.925,228.994,55.642,36.033,395,326,0.35776,0.1180608,105
20,19,805.100,223.044,54.436,35.097,395,326,0.0,0.0,106
21,20,719.688,246.346,48.661,38.764,396,326,0.08,0.0264,107
22,21,690.150,279.056,46.664,43.911,398,325,0.17888,0.0590304,108
23,22,616.025,244.300,41.652,38.442,398,325,0.0,0.0,109
24,23,597.825,269.503,40.422,42.408,398,325,0.0,0.0,110
25,24,554.325,236.485,37.480,37.212,400,325,0.16,0.0528,111
26,25,563.562,241.152,38.105,37.947,400,325,0.0,0.0,112
27,26,623.038,229.478,42.126,36.110,400,326,0.08,0.0264,113
28,27,532.425,218.240,36.000,34.341,401,325,0.11312,0.0373296,114
29,28,593.475,242.832,40.127,38.211,401,325,0.0,0.0,115
30,29,568.400,275.339,38.432,43.326,401,325,0.0,0.0,116
31,30,688.150,278.842,46.529,43.877,401,326,0.08,0.0264,117
32,31,537.775,217.240,36.361,34.184,403,324,0.22624,0.0746592,118
33,32,610.662,203.864,41.290,32.079,405,322,0.22624,0.0746592,119
