Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,19072,166.0,1,7.757,658.873493976,449.746987952,132073.0,0002-0002-0449,1,KO
0,19329,181.0,6,8.007,650.660220994,444.422651934,132073.0,0007-0003-0444,1,KO
0,20489,237.0,32,9.8525,608.934599156,427.339662447,132073.0,0033-0001-0426,1,KO
0,19531,187.0,10,8.42925,649.767379679,442.981283422,132073.0,0011-0002-0443,1,KO
0,19276,182.0,5,8.167,652.17032967,445.791208791,132073.0,0006-0003-0445,1,KO
0,20110,264.0,23,10.4465,620.833333333,432.507575758,132073.0,0024-0002-0432,1,KO
0,20240,269.0,26,10.8205,612.302973978,428.06133829,132073.0,0027-0001-0427,1,KO
0,19729,205.0,14,8.47225,642.914634146,442.143902439,132073.0,0015-0002-0442,1,KO
0,20369,236.0,29,10.07825,608.855932203,428.618644068,132073.0,0030-0001-0427,1,KO
0,19986,286.0,20,11.694,626.98951049,436.293706294,132073.0,0021-0001-0436,1,KO
0,20562,220.0,34,9.3355,606.659090909,427.790909091,132073.0,0035-0001-0427,1,KO
0,19027,155.0,0,7.77825,660.448387097,450.583870968,132073.0,0001-0001-0450,1,KO
0,19219,171.0,4,7.95025,653.119883041,447.15497076,132073.0,0005-0003-0447,1,KO
0,20627,115.0,36,6.62075,603.343478261,429.413043478,132073.0,0037-0002-0428,1,KO
0,19861,214.0,17,8.71225,632.953271028,439.719626168,132073.0,0018-0001-0439,1,KO
0,19483,179.0,9,7.94825,650.058659218,442.567039106,132073.0,0010-0003-0442,1,KO
0,19165,162.0,3,7.6375,654.160493827,447.950617284,132073.0,0004-0002-0448,1,KO
0,19678,208.0,13,8.37325,644.331730769,442.870192308,132073.0,0014-0002-0443,1,KO
0,20067,263.0,22,10.94775,622.16539924,433.245247148,132073.0,0023-0002-0432,1,KO
0,20326,244.0,28,10.177,610.659836066,427.663934426,132073.0,0029-0001-0426,1,KO
0,20454,248.0,31,11.139,609.939516129,427.991935484,132073.0,0032-0001-0426,1,KO
0,19816,214.0,16,8.604,636.542056075,440.780373832,132073.0,0017-0001-0440,1,KO
