Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,557066,26.0,4,2.927,509.5,644.0,214229.0,0005-0026-0644,2,KO
0,557354,60.0,12,4.78175,508.066666667,643.633333333,214229.0,0013-0033-0643,2,KO
0,557036,26.0,3,2.927,512.5,645.0,214229.0,0004-0032-0645,2,KO
0,556928,32.0,0,3.32,519.6875,653.78125,214229.0,0001-0030-0654,2,KO
0,557504,45.0,16,4.5075,503.833333333,640.855555556,214229.0,0017-0032-0640,2,KO
0,557283,30.0,10,3.68075,507.633333333,641.5,214229.0,0011-0031-0641,2,KO
0,556964,34.0,1,3.636,517.529411765,648.529411765,214229.0,0002-0031-0649,2,KO
0,557540,67.0,17,5.07625,503.201492537,641.664179104,214229.0,0018-0029-0641,2,KO
0,556999,28.0,2,3.32,509.071428571,650.571428571,214229.0,0003-0030-0650,2,KO
0,557432,37.0,14,4.0365,508.527027027,642.040540541,214229.0,0015-0030-0642,2,KO
0,557245,27.0,9,3.87825,508.388888889,641.5,214229.0,0010-0033-0641,2,KO
0,557469,26.0,15,3.4025,505.0,640.538461538,214229.0,0016-0031-0640,2,KO
0,557395,50.0,13,4.87175,507.62,642.36,214229.0,0014-0035-0642,2,KO
0,557173,29.0,7,3.404,509.810344828,642.844827586,214229.0,0008-0025-0643,2,KO
0,557142,25.0,6,3.05275,510.7,645.06,214229.0,0007-0033-0645,2,KO
0,557207,53.0,8,5.20125,511.254716981,642.952830189,214229.0,0009-0027-0643,2,KO
1,561162,97.0,84,5.8825,373.603092784,610.283505155,214229.0,0085-0049-0610,2,KO
1,557067,48.0,4,4.2495,423.333333333,654.0,214229.0,0005-0027-0654,2,KO
1,558091,96.0,31,5.7015,395.625,624.020833333,214229.0,0032-0029-0624,2,KO
1,558605,97.0,43,5.7595,387.68556701,616.242268041,214229.0,0044-0035-0616,2,KO
1,562189,98.0,99,5.84225,370.683673469,597.346938776,214229.0,0100-0048-0597,2,KO
1,558339,133.0,37,7.3355,385.229323308,620.853383459,214229.0,0038-0030-0621,2,KO
1,557319,63.0,11,4.95425,403.658730159,652.150793651,214229.0,0012-0030-0652,2,KO
1,557575,70.0,18,5.045,403.357142857,643.8,214229.0,0019-0033-0644,2,KO
1,562969,88.0,109,5.52075,374.443181818,593.227272727,214229.0,0110-0061-0593,2,KO
1,561434,95.0,88,5.80175,372.373684211,608.647368421,214229.0,0089-0041-0608,2,KO
1,563226,101.0,112,7.02425,368.292079208,590.797029703,214229.0,0113-0045-0591,2,KO
1,563740,43.0,118,4.1925,366.5,587.941860465,214229.0,0119-0061-0588,2,KO
1,557853,62.0,25,4.5,397.887096774,631.5,214229.0,0026-0033-0631,2,KO
