Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,691722,53.0,1,4.41875,471.066037736,529.613207547,273111.0,0002-0064-0529,3,KO
0,691807,54.0,2,4.61825,469.537037037,530.259259259,273111.0,0003-0071-0530,3,KO
0,692047,39.0,5,3.7655,475.628205128,527.628205128,273111.0,0006-0064-0527,3,KO
0,691890,53.0,3,4.4445,471.877358491,530.613207547,273111.0,0004-0069-0530,3,KO
0,691968,51.0,4,4.5185,472.715686275,529.18627451,273111.0,0005-0066-0529,3,KO
0,692128,36.0,6,3.7655,477.583333333,521.722222222,273111.0,0007-0065-0521,3,KO
0,692215,38.0,7,3.7655,482.815789474,519.368421053,273111.0,0008-0068-0519,3,KO
1,694794,76.0,38,5.17625,507.907894737,490.447368421,273111.0,0039-0052-0490,3,KO
1,691723,43.0,1,3.91825,488.895348837,530.197674419,273111.0,0002-0065-0530,3,KO
1,695051,67.0,41,4.9425,506.694029851,489.305970149,273111.0,0042-0061-0489,3,KO
1,695307,73.0,44,5.179,514.554794521,485.267123288,273111.0,0045-0052-0485,3,KO
1,693262,58.0,20,4.5,502.275862069,502.620689655,273111.0,0021-0059-0502,3,KO
1,694541,56.0,35,4.5,508.0,496.0,273111.0,0036-0059-0496,3,KO
1,698369,69.0,79,4.795,526.717391304,474.920289855,273111.0,0080-0057-0475,3,KO
1,695835,61.0,50,4.736,510.696721311,483.385245902,273111.0,0051-0056-0483,3,KO
1,699929,60.0,95,4.69525,532.466666667,467.433333333,273111.0,0096-0062-0467,3,KO
1,698655,64.0,82,4.8935,529.859375,472.6875,273111.0,0083-0056-0472,3,KO
1,695575,65.0,47,4.86,510.223076923,485.838461538,273111.0,0048-0058-0485,3,KO
1,697646,64.0,71,4.86,518.625,475.46875,273111.0,0072-0051-0475,3,KO
1,692783,38.0,14,3.7655,488.473684211,510.263157895,273111.0,0015-0068-0510,3,KO
1,700461,62.0,101,4.8935,534.209677419,468.338709677,273111.0,0102-0052-0468,3,KO
1,696098,63.0,53,4.6575,513.563492063,479.03968254,273111.0,0054-0054-0479,3,KO
1,693027,36.0,17,3.4525,494.0,509.333333333,273111.0,0018-0062-0509,3,KO
1,699427,62.0,90,4.574,535.387096774,466.903225806,273111.0,0091-0059-0467,3,KO
1,700199,59.0,98,4.7135,533.330508475,465.381355932,273111.0,0099-0051-0465,3,KO
1,692538,40.0,11,3.9005,483.45,509.425,273111.0,0012-0061-0509,3,KO
1,696379,62.0,56,4.574,515.612903226,478.096774194,273111.0,0057-0060-0478,3,KO
1,698172,64.0,77,4.94025,523.609375,473.734375,273111.0,0078-0061-0473,3,KO
1,697906,61.0,74,4.574,522.581967213,475.155737705,273111.0,0075-0054-0475,3,KO
1,698934,63.0,85,4.824,533.373015873,469.166666667,273111.0,0086-0055-0469,3,KO
1,697396,61.0,68,4.574,517.680327869,474.073770492,273111.0,0069-0051-0474,3,KO
1,696906,58.0,62,4.5,516.672413793,473.103448276,273111.0,0063-0052-0473,3,KO
