Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,673690,26.0,1,3.217,400.269230769,317.576923077,198588.0,0002-0003-0318,2,WT
0,673679,29.0,0,3.154,401.327586207,310.396551724,198588.0,0001-0001-0310,2,WT
1,673695,56.0,1,4.5,363.607142857,357.267857143,198588.0,0002-0008-0357,2,WT
1,673709,54.0,3,4.20425,369.833333333,363.925925926,198588.0,0004-0002-0364,2,WT
1,673682,54.0,0,4.46225,364.055555556,356.759259259,198588.0,0001-0004-0357,2,WT
1,673730,51.0,5,4.305,379.950980392,369.205882353,198588.0,0006-0005-0369,2,WT
1,673718,50.0,4,4.236,377.66,368.28,198588.0,0005-0003-0368,2,WT
1,673703,58.0,2,5.56975,364.5,361.068965517,198588.0,0003-0003-0361,2,WT
2,673692,31.0,1,3.62125,527.209677419,327.85483871,198588.0,0002-0005-0328,2,WT
2,673680,28.0,0,3.30275,526.678571429,319.892857143,198588.0,0001-0002-0320,2,WT
3,673706,92.0,2,7.235,372.934782609,609.152173913,198588.0,0003-0006-0609,2,WT
3,673819,68.0,12,6.59,372.029411765,625.191176471,198588.0,0013-0012-0626,2,WT
3,673807,72.0,11,7.1705,377.125,628.652777778,198588.0,0012-0014-0630,2,WT
3,673756,55.0,7,4.324,387.5,617.5,198588.0,0008-0011-0617,2,WT
3,673714,78.0,3,5.30175,385.564102564,612.333333333,198588.0,0004-0007-0612,2,WT
3,673778,49.0,9,4.1085,381.663265306,616.928571429,198588.0,0010-0010-0617,2,WT
3,673699,136.0,1,7.90275,384.639705882,618.058823529,198588.0,0002-0012-0618,2,WT
3,673744,54.0,6,4.47475,395.12962963,616.111111111,198588.0,0007-0009-0616,2,WT
3,673686,64.0,0,4.574,390.5,612.8125,198588.0,0001-0008-0613,2,WT
3,673734,41.0,5,4.04425,396.817073171,612.207317073,198588.0,0006-0009-0612,2,WT
3,673767,56.0,8,4.5,382.821428571,615.339285714,198588.0,0009-0010-0615,2,WT
4,673704,81.0,2,5.6165,245.561728395,437.709876543,198588.0,0003-0004-0438,2,WT
4,673801,441.0,11,13.35325,288.425170068,428.388888889,198588.0,0012-0008-0428,2,WT
4,673742,358.0,6,11.91375,258.687150838,426.058659218,198588.0,0007-0007-0426,2,WT
4,673711,92.0,3,6.40175,251.010869565,437.25,198588.0,0004-0004-0437,2,WT
4,673775,422.0,9,13.468,279.454976303,424.172985782,198588.0,0010-0007-0426,2,WT
4,673696,112.0,1,8.44525,244.044642857,436.339285714,198588.0,0002-0009-0436,2,WT
4,673732,308.0,5,11.39275,254.577922078,426.714285714,198588.0,0006-0007-0428,2,WT
4,673764,369.0,8,12.41775,271.204607046,421.933604336,198588.0,0009-0007-0423,2,WT
4,673828,235.0,13,9.9915,294.393617021,430.717021277,198588.0,0014-0008-0432,2,WT
4,673754,371.0,7,12.6595,262.855795148,423.163072776,198588.0,0008-0009-0424,2,WT
4,673786,431.0,10,13.60275,286.193735499,426.448955916,198588.0,0011-0007-0427,2,WT
4,673721,62.0,4,5.62825,253.661290323,435.951612903,198588.0,0005-0006-0436,2,WT
4,673842,193.0,14,10.757,296.142487047,429.24611399,198588.0,0015-0009-0430,2,WT
4,673814,383.0,12,11.96225,291.121409922,428.408616188,198588.0,0013-0007-0429,2,WT
4,673684,75.0,0,5.9185,249.073333333,435.313333333,198588.0,0001-0006-0435,2,WT
5,673705,48.0,2,4.055,576.854166667,572.375,198588.0,0003-0005-0572,2,WT
5,673743,49.0,6,4.236,575.928571429,576.826530612,198588.0,0007-0008-0577,2,WT
5,673804,39.0,11,3.7655,570.346153846,594.5,198588.0,0012-0011-0594,2,WT
5,673698,51.0,1,4.236,572.029411765,573.931372549,198588.0,0002-0011-0574,2,WT
5,673766,42.0,8,3.9005,575.619047619,586.214285714,198588.0,0009-0009-0586,2,WT
5,673830,43.0,13,3.986,564.546511628,586.779069767,198588.0,0014-0010-0587,2,WT
5,673733,50.0,5,4.2495,576.54,579.92,198588.0,0006-0008-0580,2,WT
5,673723,50.0,4,4.25,571.36,569.48,198588.0,0005-0008-0569,2,WT
5,673755,46.0,7,4.5,574.434782609,591.391304348,198588.0,0008-0010-0591,2,WT
5,673817,45.0,12,4.4645,564.211111111,586.811111111,198588.0,0013-0010-0586,2,WT
5,673790,66.0,10,5.56575,569.818181818,592.651515152,198588.0,0011-0011-0593,2,WT
5,673713,49.0,3,4.236,581.010204082,572.785714286,198588.0,0004-0006-0573,2,WT
5,673777,36.0,9,3.654,570.527777778,588.416666667,198588.0,0010-0009-0588,2,WT
