Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,761418,38.0,0,3.7655,344.578947368,478.552631579,203546.0,0001-0035-0478,3,WT
0,761456,31.0,1,3.32,347.080645161,475.435483871,203546.0,0002-0037-0475,3,WT
0,761488,25.0,2,3.2025,338.26,486.62,203546.0,0003-0032-0486,3,WT
1,761547,108.0,4,6.3635,322.240740741,461.787037037,203546.0,0005-0028-0462,3,WT
1,761417,118.0,0,6.873,308.355932203,470.338983051,203546.0,0001-0034-0470,3,WT
1,761455,131.0,1,7.40275,313.713740458,469.248091603,203546.0,0002-0036-0469,3,WT
1,761487,116.0,2,6.40025,314.603448276,470.120689655,203546.0,0003-0031-0470,3,WT
1,761518,109.0,3,6.2595,317.353211009,468.041284404,203546.0,0004-0030-0468,3,WT
1,761580,37.0,5,3.736,308.445945946,467.22972973,203546.0,0006-0032-0467,3,WT
2,761546,138.0,4,6.8555,361.47826087,438.456521739,203546.0,0005-0027-0438,3,WT
2,761578,134.0,5,6.8555,367.111940299,439.552238806,203546.0,0006-0030-0439,3,WT
2,761609,218.0,6,9.024,362.821100917,436.344036697,203546.0,0007-0028-0436,3,WT
2,761416,141.0,0,6.9665,332.457446809,450.358156028,203546.0,0001-0033-0450,3,WT
2,761454,133.0,1,6.8555,345.342105263,447.996240602,203546.0,0002-0035-0447,3,WT
2,761486,133.0,2,6.905,339.229323308,454.567669173,203546.0,0003-0030-0454,3,WT
2,761517,136.0,3,6.8555,350.352941176,445.411764706,203546.0,0004-0029-0445,3,WT
3,761675,182.0,8,8.97025,725.879120879,335.714285714,203546.0,0009-0028-0335,3,WT
3,761743,96.0,10,6.053,717.78125,337.416666667,203546.0,0011-0028-0338,3,WT
3,761710,171.0,9,7.751,726.236842105,336.523391813,203546.0,0010-0026-0336,3,WT
3,761411,213.0,0,9.39025,732.645539906,337.269953052,203546.0,0001-0028-0337,3,WT
3,761601,178.0,6,7.866,724.876404494,333.797752809,203546.0,0007-0020-0334,3,WT
3,761777,55.0,11,4.80325,716.154545455,336.1,203546.0,0012-0027-0336,3,WT
